
05/07/2020,0.309251,-0.011055,0.322023,0.365453,2.365644,0.639169,2.022854,-0.654495,0.066272,1.345694,0.100335,1.018368,0.333371,5.288590,,1.734820,0.610617,0.330463,1.071545,0.252419,0.347550,3.885586,0.561008,-1.160074,0.560224,0.000000,0.069322,4.186167,0.908695,0.900771,1.601825,0.227971,-1.666642,-3.319579,1.217904,4.964326,-4.936213,0.253777,0.158604,-1.822542,0.231919,0.020166,0.341366,1.622219,0.096457,0.164991,0.346569,0.153183,2.050961,1.880339,-0.280581,1.571835,1.867673,1.482817,-0.400139,0.388027,2.298262
05/06/2020,-0.402098,0.011056,-0.446628,-0.845513,-0.711735,-1.969257,-2.191172,0.973913,-0.066228,-0.668350,-0.771845,-0.669567,-0.517003,-3.148548,,-1.042305,-0.369965,-0.067514,-1.357321,0.063090,0.089163,-4.419432,-0.382358,0.648421,-0.388980,-0.018068,0.034539,-2.843923,1.172203,1.225847,-1.493610,0.000000,1.430174,3.236463,-0.897761,-4.863198,4.800561,-0.303608,-0.473560,-3.068340,-0.374018,-2.300997,-0.113772,-1.509016,0.032099,-0.128211,-0.426203,0.502519,-1.721819,-0.279165,-1.093058,-0.017645,-2.191970,-3.555653,0.753725,-0.770077,-2.461312
05/05/2020,-0.076943,0.000000,-0.091571,0.242160,1.517910,2.570759,-0.860646,0.912601,0.099647,0.171285,-0.033145,0.242675,-0.427476,1.405897,,0.245851,-0.073919,-0.022500,0.240675,-0.045153,0.232446,-1.856137,0.000000,0.130145,0.118355,0.009035,-0.011378,1.207008,1.303965,1.681118,-0.606639,0.059451,0.654264,1.090336,-0.065328,-2.038506,1.856102,-0.201997,-0.860720,9.354347,0.010977,0.108807,-0.028393,-0.539445,0.000000,0.055104,-0.081046,2.169108,0.254649,0.521396,0.086914,0.363325,-0.519136,-1.597277,0.387119,-0.410846,-1.322700
05/04/2020,0.085554,0.000000,0.103176,0.731797,-0.575200,1.207985,-0.738090,1.641099,0.099747,0.171579,-0.519916,-0.156876,-0.752007,1.622035,,0.308261,0.016461,0.022505,-0.035985,0.099304,0.268830,3.001551,0.088121,0.000000,0.033952,-0.009034,0.000000,1.031853,1.106480,0.831955,-0.395621,0.049651,0.262695,0.775752,-0.201647,-1.221715,1.375962,-0.602340,-1.540832,4.294804,0.110171,-0.138267,0.028401,-0.439522,0.032110,0.146570,-0.584513,5.064471,0.354389,0.584884,-0.052039,0.543357,1.904596,5.158984,1.156995,-0.245902,-0.315812
05/01/2020,0.005148,-0.017556,-0.041170,-1.678201,-3.400609,-1.284201,0.761261,-0.461648,-0.016896,-1.520569,-0.704736,-1.044180,0.173826,2.329080,,0.682806,0.138234,0.003794,0.193034,-0.046805,0.504433,-8.043359,-1.508107,-0.194110,-0.050901,0.000860,-0.147693,3.194444,-4.710988,-4.875766,0.797807,-0.034769,-0.586845,-1.339200,0.407798,2.220161,-2.427688,-0.100289,0.386698,-1.359833,-0.386327,-0.595673,0.075454,0.713048,-0.046528,-0.082267,-0.451499,-2.741232,-2.100840,-1.392294,-1.098649,-3.739220,-2.224258,-8.002207,0.000000,-0.920411,1.109107
04/30/2020,-0.221485,0.021852,-0.080058,0.000000,-3.932769,1.868858,-1.169128,-1.572877,0.099829,-0.473787,1.093534,-0.267569,0.778667,-5.854933,,-1.947657,-0.237825,-0.037495,-2.510972,0.180270,-0.053881,-3.634141,0.000000,0.390468,-0.672394,0.018071,0.173120,-4.909285,-3.708160,-3.529849,-1.119556,-0.118528,0.988246,1.950348,-0.731981,-3.244538,3.494019,0.605379,1.411765,6.222222,-0.076569,-0.968959,-0.099379,-0.991827,0.015955,0.201553,0.767088,-2.515692,-2.973404,-0.435564,-1.187120,-0.622165,-4.448731,1.172431,-1.369382,1.358211,-2.035837
04/29/2020,0.068156,-0.010925,0.068609,1.398012,6.761076,1.807506,-0.701152,-0.763094,0.099929,0.785689,0.165951,0.823207,0.361404,2.855100,,0.550796,-0.049118,0.044928,-0.814644,0.189658,-0.017957,13.567955,1.583203,0.064509,-0.117832,-0.026992,-0.011513,3.394530,4.696453,4.746321,-0.474470,0.069252,0.662944,1.117574,-0.188479,-1.542224,1.492832,0.507040,0.950119,5.633803,0.527818,0.496564,-0.014195,-0.560782,-0.015952,0.275905,1.039953,0.556317,2.550503,4.836991,-0.422281,2.203946,6.810726,10.829177,1.208244,-0.491468,-0.999672
04/28/2020,0.393725,0.000000,0.298053,0.488761,0.429037,0.096318,1.274656,0.034698,0.033045,0.464335,0.074697,0.313172,0.029345,-0.263178,,-0.547778,0.436170,0.180382,0.809576,0.262722,-0.438235,4.620364,0.029397,-0.774658,0.387798,0.026999,0.034686,0.190710,-0.666340,-0.517501,1.105641,0.088973,-1.179823,-2.186281,1.023730,3.464795,-3.463247,0.152344,-0.079114,-2.739726,0.220409,0.430402,0.227466,1.114625,0.064230,0.221212,0.842989,-3.092264,1.855721,-1.814185,0.560382,0.393514,2.047462,0.937148,0.000000,-0.718352,1.842426
04/27/2020,-0.460024,0.000000,-0.354070,0.244979,0.938024,-1.869932,-2.330727,-0.517777,0.066548,1.269588,0.509144,0.400026,0.156546,0.216008,,-0.424242,-0.532180,-0.202432,-0.687409,-0.045224,-0.035744,-0.724812,0.264432,0.978347,-0.117717,-0.026992,0.000000,0.800992,1.235537,1.334960,-1.701849,0.039587,1.869245,3.528694,-1.176434,-5.737000,5.579958,0.101666,0.079177,-14.785992,-0.296669,-1.179157,-0.255268,-1.710571,-0.016150,0.055334,0.144250,1.340059,2.667586,0.822178,0.289750,1.870753,3.168504,2.191315,0.625782,-0.256861,-2.545027
04/24/2020,-0.051133,-0.010924,-0.034204,-0.305629,1.538190,-1.291308,0.142259,-0.480934,0.066592,0.219846,0.108635,-0.185452,0.274759,1.435038,,-0.422450,0.024589,0.022421,1.381917,-0.135705,-0.035837,-1.749795,0.920004,-0.065327,0.541735,0.017962,0.000000,0.515276,2.018660,2.079261,0.246666,0.178461,-0.266542,-0.199542,0.259467,0.888808,-0.713539,0.254812,0.798085,-2.651515,0.011128,-0.115771,0.000000,0.154049,0.000000,-0.128945,-0.164372,3.444292,1.568445,1.269378,1.067319,1.694134,0.000000,0.901683,0.000000,-0.444145,0.264947
04/23/2020,0.239089,0.010925,0.160059,0.000000,2.017824,-0.275945,0.676319,0.726644,0.100195,0.823629,0.251282,0.819954,-0.352004,2.698039,,1.036585,0.065549,0.000000,-0.082602,0.262937,-0.480268,9.697644,0.687150,-0.259898,0.050936,-0.017959,-0.011650,2.340411,-0.919646,-0.998562,0.537190,-0.118833,-0.529500,-1.052014,0.373029,1.540814,-1.549945,-0.101821,-0.713154,5.179283,0.253247,0.915670,0.028390,0.609971,0.000000,0.258335,0.391951,-0.053325,0.697620,0.712711,-0.887248,-0.027247,0.784081,3.926893,0.197062,-0.161247,0.828555
04/22/2020,0.000000,0.000000,-0.079966,0.000000,3.963295,1.399029,-1.351234,0.837404,-0.100095,0.413518,0.125799,-0.014532,-0.379923,7.549517,,1.800124,-0.310441,-0.142342,1.521699,0.163454,-0.097799,3.583378,0.873998,0.852050,0.425398,0.000000,-0.034536,5.456847,5.651068,6.052610,-0.982223,0.347865,1.003447,1.671046,-0.722916,-2.885839,3.199058,-0.101718,-0.941915,-10.676157,0.077177,-0.310795,-0.169881,-1.044422,-0.015957,0.092427,-0.431560,1.911575,1.966107,2.690365,0.964542,2.155870,2.292544,2.821795,0.053773,-0.040296,-1.482242
04/21/2020,0.051179,0.000000,0.125858,-0.727361,-3.523128,-4.711363,2.071762,-0.034880,0.166966,-0.647848,-1.004622,-0.386769,0.038921,-1.923456,,-0.739372,0.278541,0.075059,1.842506,-0.018183,-0.495201,-1.949384,-1.542972,-0.716197,0.443974,0.000000,0.023029,-0.553036,-4.477629,-4.899114,1.201234,0.009875,-1.255281,-2.413548,0.662585,3.518459,-3.893682,-0.253649,0.078555,-25.066667,-0.054957,-0.087307,0.127531,1.143563,0.000000,-0.073665,-1.117447,-3.043389,-2.468356,-3.147726,-2.124365,-2.595507,-2.185968,1.348342,-0.035836,0.080656,2.139235
04/20/2020,-0.144985,-0.010924,-0.159876,-0.241867,-1.477095,-1.660572,1.238638,0.209717,-0.133229,-0.393407,-0.536757,-0.682894,-0.145920,4.344250,,0.932836,0.262897,0.082452,0.134434,0.045477,-0.370001,-2.010306,-0.472841,-0.453166,-0.204223,0.008926,0.000000,2.117807,-2.119483,-2.173667,0.814155,-0.317013,-0.851327,-1.351261,0.661019,2.564703,-2.595290,-0.303455,-0.235110,-10.926366,-0.362456,-0.760770,0.113640,0.801140,0.015960,0.000000,0.081152,3.724762,-2.467292,-0.908955,-1.966871,-1.744366,-0.613138,1.534697,-0.285867,0.215546,1.182155
04/17/2020,-0.119239,0.021852,-0.136968,0.669931,3.122328,0.438911,-2.194341,-0.486957,0.133407,0.905147,0.339757,0.529335,0.214572,-4.790559,,-2.010969,-0.262207,-0.104853,-1.492442,-0.081682,-0.079282,8.208236,1.225704,0.455229,-0.543090,0.000000,-0.034666,-2.612474,0.978409,0.775161,-1.420144,-0.098969,1.260280,2.371714,-0.803380,-4.113177,3.942141,0.202713,0.393391,-3.440367,0.242269,0.474114,-0.141849,-1.158805,-0.015957,-0.073833,1.131306,5.508840,4.015200,1.360963,1.526999,2.953705,1.930927,10.111585,0.196921,-0.188248,-2.097335
04/16/2020,0.127927,-0.010925,0.057033,-0.484615,-0.530212,-0.262655,1.714641,1.339443,0.000000,-0.126842,-0.552160,-0.071611,-0.581736,2.084429,,-0.485143,0.106572,0.000000,-2.166743,0.118064,-0.237076,-6.944835,-0.149191,-0.129583,-0.774161,0.009035,0.023160,2.177639,2.652009,2.807313,1.081784,-0.364910,-1.114967,-2.254045,0.588226,3.351334,-3.212756,-0.604464,-1.012461,-1.580135,-0.285475,-0.135205,0.042573,0.984937,-0.016145,-0.092206,-1.098439,2.698550,-0.576475,0.399399,0.658854,1.199457,-0.283385,-4.540883,-1.010101,0.161616,1.949862
04/15/2020,0.411068,-0.010924,0.493155,-0.959927,-6.050156,-2.057994,2.808441,1.466381,0.066748,-2.141971,-0.776729,-1.408919,-0.693264,-2.880998,,-0.302297,0.893677,0.338271,0.950987,0.090960,0.556324,-7.240569,-0.975308,-1.725304,0.135120,-0.009034,0.034686,-3.425913,-2.695109,-2.975752,2.538397,-0.068915,-2.555922,-5.015283,1.605848,7.703476,-7.777759,-0.749914,-1.533742,-4.935622,0.596295,0.612405,0.427207,2.519283,0.048268,0.055354,-0.827296,-2.470263,-4.593497,-0.936918,-1.579510,-2.192925,-5.813230,-2.656951,0.000000,0.979192,3.485472
04/14/2020,0.051449,0.010925,0.000000,0.240559,4.616828,-0.850207,0.347841,-1.340861,-0.033570,0.782177,0.849309,-0.238969,0.629837,0.000000,,0.976801,0.132543,0.128020,0.658096,-0.027314,0.212472,-1.431541,0.654461,-0.318430,0.168751,0.018071,0.000000,0.511401,4.374924,4.612580,-0.106609,-0.009916,0.063994,0.615786,0.102731,-0.145121,0.185628,0.704853,1.242236,-5.476673,-0.417903,-0.579909,0.142719,-0.109824,0.015965,0.036916,0.609178,3.997505,1.292716,2.958619,4.246160,3.910155,1.078010,-1.193368,0.839886,-0.983033,-0.063046
04/13/2020,-0.469093,0.021855,-0.320045,-0.239982,0.223964,1.729829,-0.973810,0.389656,0.133629,0.788344,0.364088,0.893353,-0.164412,8.078508,,1.802362,-0.214968,-0.105317,0.336282,-0.425436,-0.106123,-0.609745,-1.059816,0.255251,0.236985,-0.009035,0.011519,6.191316,1.307689,1.130575,-0.865907,0.177795,0.968465,0.931928,-0.457101,-2.223274,2.276535,0.100795,-0.232378,-1.004016,0.242450,-1.419597,-0.099803,-0.556183,-0.048062,-0.276108,0.060925,-0.155734,-2.197909,0.150367,-0.739623,-0.028199,-0.161497,0.963784,1.413556,-1.341836,-0.868929
04/09/2020,1.243426,-0.021850,1.097827,0.725166,3.634833,0.260149,0.597309,-1.740341,0.369045,2.026542,0.792501,0.355976,0.730732,9.456708,,2.549395,0.215431,0.211080,2.033552,0.081549,0.703289,0.819620,3.820432,-0.381772,0.870221,0.018073,0.034568,8.270914,-2.364572,-2.162724,0.317808,0.456113,-0.257789,-0.494475,0.204868,-0.023630,-0.188639,0.761719,1.413983,-7.262570,2.693511,6.515117,0.171215,-0.009994,0.080232,-0.293651,1.504622,1.880543,4.300483,0.735527,0.937604,1.803578,6.781592,0.484226,0.748585,-0.856164,0.102393
04/08/2020,0.095034,0.010926,0.254953,0.242308,1.971129,-0.259474,-1.419096,1.126364,0.167726,0.501222,0.225701,-0.425325,-0.475166,2.196539,,-1.196474,-0.124129,0.015079,-1.114555,0.245247,0.357366,8.444452,2.892938,0.383235,-0.509262,-0.054081,0.057780,0.433052,3.314273,3.345657,-0.694526,-0.128799,0.975391,1.505023,-0.813178,-1.902143,1.929783,-0.454952,-1.010886,5.500982,1.156408,1.587594,0.028572,-0.651069,0.032331,0.073467,0.289633,3.934545,4.893409,2.143055,1.480270,3.149862,3.019536,9.057551,-0.145852,0.131891,-1.152032
04/07/2020,0.138470,-0.021848,0.092707,0.916642,5.316335,0.696752,-0.788695,-1.933034,0.235872,1.743367,0.817622,0.944371,0.998941,-2.119251,,-0.376412,-0.444839,-0.165599,-0.840869,0.081706,0.656511,3.448341,2.813197,0.772391,0.118838,0.045070,-0.023053,1.438078,-0.308365,-0.356548,-0.999776,-0.069208,1.117902,1.270737,-0.564757,-3.319126,3.393215,1.072945,2.144559,-7.116788,0.264003,0.031021,-0.270532,-0.976718,0.000000,0.405706,0.896738,-2.002469,2.664777,0.734578,-1.149669,1.488566,0.177973,3.103532,0.808675,-0.785135,-0.863545
04/06/2020,0.487057,0.010925,0.314132,0.430109,5.799815,0.525309,-0.279674,0.138265,0.507766,1.655314,0.431738,0.243650,-0.185737,9.592611,,2.640052,-0.451104,-0.240206,0.543508,-0.063570,1.155242,7.673219,3.065500,0.777667,-0.169667,0.009036,-0.069245,5.209870,9.942884,10.200049,-0.373734,0.069256,0.197801,1.943527,-0.655559,-0.867046,0.805262,-0.102081,-0.474308,-7.118644,1.020404,3.017048,-0.297967,-0.369842,-0.064431,-0.477182,1.096670,7.400370,7.439622,6.595473,3.721762,8.321723,7.457190,5.153111,-1.520362,1.500863,-0.027853
04/03/2020,0.069673,-0.032764,-0.046548,-0.184189,-1.043866,2.514108,0.521234,0.626087,0.067299,-1.156802,-1.656717,0.273228,-0.311882,-2.108685,,0.713359,0.073924,0.015021,1.744979,-0.072614,-0.127117,-1.703220,-0.924293,-0.064217,0.752329,-0.036025,-0.023166,-2.936261,-2.003028,-1.892334,0.395863,0.367812,-0.328585,-1.152821,-0.135674,0.919917,-0.996546,-0.457264,-0.784314,15.459883,-0.265987,-1.258714,0.028418,0.087639,-0.032110,0.128637,-1.290473,-1.409184,-2.404703,-2.022215,0.782852,-1.743806,-2.667184,3.773286,-0.914634,0.870847,0.000000
04/02/2020,0.148169,0.010923,0.467370,0.307697,2.678544,1.921014,0.915992,1.914215,0.305881,-0.427875,0.008362,0.230617,-0.888553,4.009558,,1.647989,0.016462,-0.067547,2.313129,0.309593,0.008974,9.308533,0.630867,0.064258,1.369350,0.000000,0.023171,4.562709,2.694630,2.979696,0.125312,0.761126,-0.522238,-0.635810,0.206847,1.757967,-1.180843,-0.605990,-1.620370,16.666667,0.255071,1.156561,-0.099365,0.943927,-0.015957,0.294896,-0.104172,3.644540,1.510993,1.270974,2.558326,0.373593,1.960298,8.440589,-1.501502,1.481985,1.154952
04/01/2020,-0.339632,-0.008711,0.516649,-1.573094,-5.325484,-2.845001,1.431469,1.621037,0.313612,-0.945428,-0.290534,-0.998872,-0.738328,3.843504,,0.663570,0.407048,0.076577,2.553002,-0.352947,-2.414355,-6.467593,-4.948243,-0.580049,0.313247,0.030657,0.064733,-1.677080,-4.959830,-5.472407,1.621912,0.117381,-1.353525,-2.238967,1.076520,4.013308,-4.690393,-0.900797,-1.444867,4.038005,-0.673761,-2.631507,0.095231,0.856825,0.000000,-0.191271,-1.434503,-5.397734,-4.506911,-3.978287,-1.688953,-4.465869,-1.983856,-5.653404,0.747464,-0.755634,2.076029
03/31/2020,-0.268011,0.010923,-0.928586,0.242602,3.862786,-1.228950,-1.225394,0.252799,0.512605,-0.486629,0.124670,0.429928,-0.191287,-3.303624,,-2.711427,0.181475,0.195406,-1.455644,0.145155,-0.711627,2.813296,0.125877,-0.449523,-0.208248,0.000000,-0.023181,-0.996224,-1.974905,-1.963463,-0.463660,0.100110,2.172859,0.062052,0.131479,-2.160770,2.500479,0.301170,-0.978916,-0.472813,0.426740,-0.287514,0.170284,-0.472968,0.000000,-0.183178,0.722433,-0.756022,-1.379420,-0.180537,-2.032349,-2.017960,1.382845,2.780119,0.518784,-0.470051,-2.276154
03/30/2020,0.095137,0.000000,0.104540,-0.841957,-1.128556,-0.262655,-1.428565,1.354319,0.480874,-0.113463,-0.455043,-1.063244,-0.627677,-2.841667,,0.258900,0.231397,0.015053,-3.893106,0.172532,0.281924,-4.401031,1.048687,-0.127755,-0.740951,-0.026993,0.046115,-1.593074,3.922050,3.480410,-0.980353,-0.399225,-0.524357,2.291699,-0.564376,-2.469977,2.563690,-0.499443,-1.116902,-5.369128,1.013410,0.922164,0.028473,-0.898300,0.096217,0.515452,-0.859587,2.725092,3.185446,3.648296,3.905771,2.090834,1.531914,-0.342494,-0.017886,-0.026853,-0.228781
03/27/2020,0.425846,-0.021841,0.537439,-0.179760,-4.159678,-0.348984,3.885133,-1.264908,-0.102908,1.814681,1.957095,0.427024,0.573835,-8.644036,,-0.770713,0.741188,0.377148,-0.109299,0.328126,-1.304359,-7.256266,-2.810400,-1.825371,-0.068559,0.000000,-0.022918,-6.636295,-5.528982,-4.961589,2.436349,-0.079781,-2.800275,-5.418461,1.826718,7.897300,-8.648411,0.856324,1.742424,-7.453416,-0.197765,0.124433,0.671915,2.440647,-0.031935,0.406581,1.390412,-2.901722,-3.614921,-3.996345,-0.464871,-3.351415,-5.260425,-6.952318,2.927099,-2.945009,3.643292
03/26/2020,0.305089,0.000000,0.457716,0.908316,0.924261,-0.347770,0.619103,-3.048353,0.206240,2.070995,2.881432,1.123279,1.554007,-2.180914,,1.433225,0.242008,0.196471,1.592667,0.155047,3.426565,1.379411,6.618149,-0.250924,0.414840,-0.018064,0.115528,-0.266250,6.064700,6.724173,0.601953,0.460824,-0.443984,-1.189852,-0.150965,1.564454,-0.893334,1.482443,2.964119,-4.921260,0.163053,-0.103632,0.085897,0.280962,0.144488,0.501745,2.531775,3.973909,4.696724,5.695309,5.473617,4.136804,1.847681,0.700269,3.074004,-3.179410,0.529030
03/25/2020,1.021320,0.000000,1.343883,0.547839,6.816314,1.679656,-0.567264,-1.687909,0.275889,0.134840,1.185584,1.997230,1.020454,4.170632,,-1.095361,0.058453,0.030289,-1.219524,-0.018205,4.384195,-0.229437,7.352627,-0.518233,0.573565,0.026995,0.115527,2.216081,-0.752317,-1.303502,-0.257501,0.483217,0.798795,2.325647,0.114940,-1.226398,0.719811,1.294512,1.907790,2.008032,3.047701,6.453430,0.014347,-0.050173,0.096609,-0.129979,0.341687,1.360736,2.333520,-1.542021,-0.273936,1.754775,0.681663,1.180552,0.668577,-0.552070,-0.841619
03/24/2020,0.825625,0.000000,0.107116,1.735037,15.185724,2.168722,-0.072439,-1.258503,3.831332,2.594764,2.382713,0.309374,0.483083,18.692079,,4.511785,-0.680206,-0.474098,2.628209,0.837439,2.187205,17.837973,7.935549,1.777714,0.541640,0.036042,-0.138574,16.275207,10.323378,10.816017,-1.395469,0.191624,0.835106,1.540148,-1.471645,-5.254350,4.314958,1.205915,1.533495,2.049180,0.276789,3.011367,-0.597435,-1.188864,-0.112489,2.941109,1.892513,8.254284,11.760232,6.150842,5.099772,9.379559,12.718301,12.333990,-0.399543,0.644021,-0.993083
03/23/2020,2.372123,-0.021836,2.214930,-1.224141,-7.457538,1.188113,6.480044,-1.076716,2.645887,-0.327569,-0.979381,-0.847222,0.525201,9.773078,,4.356992,1.183429,0.712418,7.176346,0.741654,1.896432,-3.141447,-5.549387,-2.897846,1.905782,-0.026997,0.115634,5.033031,3.710740,3.571704,3.660692,0.354255,-3.653173,-6.455441,3.286024,12.758151,-13.149003,0.104920,0.405186,-1.214575,5.429375,9.821475,0.831967,4.008291,0.000000,0.191380,0.767090,-0.795685,-5.097730,0.530945,-2.959232,0.164664,-1.030300,-7.541162,-0.303490,0.075825,7.484216
03/20/2020,0.991325,0.032765,1.695456,-0.182944,-2.516173,-1.084822,7.149748,0.000000,1.871789,0.764351,0.429177,0.572948,-0.108807,-4.492578,,1.425517,2.547843,1.196449,12.274124,1.200874,0.768370,0.262558,1.984400,-4.306538,4.251796,0.027005,0.266628,2.731591,-1.749954,-2.848590,7.189661,1.115628,-7.555538,-12.945454,4.166334,20.358713,-20.618635,0.210281,0.000000,-8.007449,-1.190764,1.817017,1.411038,6.636674,0.371004,-0.834766,1.535699,-1.454320,-3.579348,-4.420162,-6.476139,-2.972325,-4.468076,-0.362551,-0.771692,0.661493,8.934778
03/19/2020,2.233273,-0.021839,-0.061803,-0.426183,2.386027,2.123392,-0.465801,4.537460,1.675319,-0.672865,-0.365272,-0.438795,-2.055686,3.903145,,-1.612903,0.328145,0.215173,1.004054,-1.168346,-2.300052,12.389322,8.320627,-0.528527,1.450243,-0.026997,0.174150,-0.146121,1.771089,2.572283,1.599630,1.044413,2.044005,0.251591,3.167634,9.699706,-8.274291,-2.361708,-4.192547,14.012739,-2.421679,-3.730912,0.306476,0.998813,0.096952,2.529093,0.111623,5.760078,2.552455,1.790179,-3.336294,3.487653,4.461796,6.563766,-4.955277,4.995325,-0.894172
03/18/2020,-3.809037,0.021843,-2.413931,-2.142463,-10.732650,-3.303063,-5.268635,1.210395,-7.239016,-3.303995,-4.166254,-1.327771,-0.922342,-24.674121,,-2.328767,-1.388057,-0.649065,-2.448573,-0.736329,-6.150675,-13.520482,-16.958769,2.588898,-1.429512,0.108215,-0.127448,-12.001677,-8.309937,-8.216530,-4.946840,-0.616620,1.422121,5.520124,-5.042378,-18.140725,17.337073,-1.366930,-2.053232,-17.513135,-4.485935,-8.822190,-0.565850,-4.026118,0.048404,-2.688413,-5.793668,-2.941693,-6.393955,-3.320906,-2.569173,-5.744576,-14.845581,-8.909718,-0.798580,0.821438,-4.918103
03/17/2020,-2.585086,0.000000,-2.068534,-0.178607,11.703160,-1.582477,-6.876090,3.500368,0.176938,-2.155080,-1.389128,-1.716335,-1.532421,23.650679,,1.388889,-2.507241,-1.095082,-7.265697,-0.357590,0.654513,0.512858,0.364988,4.861665,-2.727214,0.009046,-0.231456,10.936822,8.100467,8.798546,-6.134050,-0.307362,6.297194,12.882003,-5.146295,-17.926720,20.166928,-1.838756,-3.095063,-5.619835,-2.826726,-5.858821,-1.613098,-6.577046,-0.370168,-0.433527,-1.100154,3.608750,6.185000,4.343530,8.432854,3.850431,9.679448,-1.501214,-3.526793,3.397382,-8.080522
03/16/2020,1.671731,0.010923,1.051092,-1.693809,-17.439308,-6.028052,6.042133,-1.309091,-2.718511,-1.842933,-0.826587,-1.121889,0.522964,20.342994,,-1.030928,2.641720,1.037755,1.679192,0.405129,-1.354163,-12.555997,-9.976389,-4.290083,0.398878,0.027036,0.162228,13.003814,-14.411749,-15.227746,6.317942,-1.224596,-4.106499,-6.863515,5.121753,16.761452,-20.213075,0.349087,1.495886,-13.074713,-0.866500,-0.997944,1.330749,6.012594,0.274470,2.136982,-3.000267,-12.347141,-11.008276,-11.279368,-6.783248,-12.668617,-7.197859,-8.456704,4.903017,-4.848967,8.388150
03/13/2020,1.570836,0.021851,4.220162,0.058779,9.931351,1.084965,-1.433615,1.476015,3.934474,-0.983825,-1.956471,0.253097,-0.614261,-10.133789,,-2.935290,-0.651949,-0.470884,0.055880,3.133977,2.255923,11.499877,6.828665,0.853110,0.400475,-0.045112,0.127657,-17.104499,9.695408,10.728123,-2.581041,0.857390,1.160743,-1.592422,-1.734969,-6.006617,7.428638,-0.199081,-1.618837,6.422018,2.196681,7.186706,-0.230952,-1.393761,-0.161249,0.000000,-2.109367,6.301272,7.018123,8.989968,8.510730,6.186395,6.527115,14.805956,-5.434783,5.566434,-3.563625
